RA_A,DE_A,RA_B,DE_B,JD,ORIGIN,DATE
99.071786485225,37.993675934915,99.034664549679,37.939081078448,2435050.99739949,POSS-I red plate E 1268 (USNO-A2.0),1954-11-04
,,,,1982.804,GSC1.3,
99.072190420471,37.992524289747,99.035313137903,37.937700250162,2446761.93288,POSS-II red plate SF 955 (GSC2.3),1986-11-27
,,,,1991.590,GSC2.2,
099.072663,37.992020,099.035556,37.937241,2450883.7289,2MASS,1998-03-11
,,,,2452646.5,CMC15,2003-01-07
099.072731,37.991822,099.035741,37.936888,2454058.321775,SDSS9,2006.8811
099.0728621,37.9916588,099.0358286,37.9367462,2455380.125,AllWISE,2010.5
099.0731354757,37.9914523040,099.0359395894,37.9365507355,2457023.75,Gaia DR1,2015.0

