YEAR,RA_A,DE_A,RA_B,DE_B,JD_A,JD_B,JD,MJD_A,MJD_B,ORIGIN,DATE,NOTES
1953,129.271665929044,39.135857559226,129.158055846721,38.972965085112,2434452.71392,,2434452.71392,34452.21391763,,POSS-I red plate E 707,1953.21,
1989,129.270061647218,39.133861374267,129.156476775038,38.970994683255,2447594.74300,,2447594.74300,47594.24299781,,POSS-II red plate SF 2334,1989.191,
1991,129.269995757072,39.133765117358,129.156335254463,38.970893269725,2448291.83442,,2448291.83442,48291.33442468,,POSS-II Infrared plate SI 3793,1991.095,
1994,129.269843350298,39.133609272838,129.156296293333,38.970752322107,2449363.89921,,2449363.89921,49363.39920848,,POSS-II blue plate SJ 5647,1994.03,
1998,129.269608,39.133385,129.156034,38.970547,2450906.6244,2450906.6198,2450906.62210,50906.1221,,2MASS,1998.04.03,
2001,129.269499,39.133214,129.155894,38.970347,2452246.50000,,2452246.50000,,,SDSS9,A: 2001.9558 B: 2001.8903,
2002,129.269473,39.133156,129.155767,38.970056,2452530.50000,2454119.50000,2453325.00000,1267,2856,CMC15,2002.09.13,"Mean epoch of astrometry, as days since 26-3-1999 (=MJD-51263, or JD-2451263.5)"
2010,129.2691228,39.1327708,129.1555361,38.9699352,2455380.125,,2455380.12500,55379.625,,AllWISE,2010.5,
2012,129.268972500,39.132555960,129.155385820,38.969712370,2456234.40662,2456282.50510,2456258.45586,56233.906620370,56282.005104170,PanSTARRS,2012.11.02 - 2012.12.21,
2015,129.2689505822,39.1325290405,129.1553689208,38.9696919492,2457023.8,,2457023.75000,57024.0,,Gaia DR1,2015.0,
2015,129.2689177,39.1325161,129.1553342,38.9696911,2457228.13344,2457252.38738,2457240.26041,57227.633440,57251.887381,CatWISE,2015.07.24,
